Automatic,Gain,Control=Checked,IR,PA,(mA)=10,Red,PA,(mA)=10,IR,LED,Range,(mA)=51,Red,LED,Range,(mA)=51,ALC,+,FDM=Checked,Sample,Rate,(Hz)=100,Pulse,Width,(usec)=400,ADC,Range,(nA)=32768,FIFO,Rolls,on,Full=Checked,FIFO,Almost,Full=17,Sample,Averaging=1,IA,Gain=5,ECG,Gain=8,Sample,Rate=200,Adaptive,Filter=Checked,Notch,Freq=50/60,Cutoff,Freq=40
2/12/2020,54:25.6,136,552,34.5000658,20,1.250002384,-5057,-1.548326975,-5481,-1.678145175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,137,485,30.31255782,0,0,-5068,-1.5516949,-5342,-1.63558685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,138,550,34.37506557,0,0,-5294,-1.62089045,-5311,-1.626095425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,139,540,33.75006437,22,1.375002623,-4754,-1.45555595,-5402,-1.65395735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,140,521,32.56256211,0,0,-4589,-1.405037075,-5536,-1.6949848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,141,554,34.62506604,20,1.250002384,-4757,-1.456474475,-5762,-1.76418035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,142,487,30.43755806,0,0,-5007,-1.533018225,-5981,-1.831232675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,143,551,34.43756568,0,0,-4571,-1.399525925,-6012,-1.8407241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,144,541,33.81256449,22,1.375002623,-4824,-1.4769882,-5972,-1.8284771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,145,524,32.75006247,0,0,-5192,-1.5896606,-5955,-1.823272125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,146,553,34.56256592,21,1.312502503,-4491,-1.375031925,-5871,-1.797553425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,147,486,30.37505794,0,0,-5022,-1.53761085,-5716,-1.7500963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,148,552,34.5000658,0,0,-5695,-1.743666625,-5604,-1.7158047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,149,540,33.75006437,21,1.312502503,-5443,-1.666510525,-5530,-1.69314775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,150,522,32.62506223,0,0,-5221,-1.598539675,-5447,-1.667735225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,151,554,34.62506604,21,1.312502503,-5654,-1.73111345,-5435,-1.664061125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,152,488,30.50005817,0,0,-5900,-1.8064325,-5437,-1.664673475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,153,552,34.5000658,0,0,-5170,-1.58292475,-5345,-1.636505375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,154,540,33.75006437,22,1.375002623,-5552,-1.6998836,-5287,-1.618747225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,155,522,32.62506223,0,0,-5669,-1.735706075,-5315,-1.627320125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,156,553,34.56256592,22,1.375002623,-5147,-1.575882725,-5286,-1.61844105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,157,488,30.50005817,0,0,-4843,-1.482805525,-5167,-1.582006225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,158,553,34.56256592,0,0,-5100,-1.5614925,-5036,-1.5418973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,159,535,33.43756378,21,1.312502503,-5316,-1.6276263,-4895,-1.498726625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,160,523,32.68756235,0,0,-5187,-1.588129725,-4718,-1.44453365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,161,555,34.68756616,21,1.312502503,-5398,-1.65273265,-4636,-1.4194273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,162,490,30.62505841,0,0,-5523,-1.691004525,-4681,-1.433205175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,163,554,34.62506604,0,0,-5253,-1.608337275,-4736,-1.4500448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,164,536,33.5000639,22,1.375002623,-5677,-1.738155475,-4884,-1.4953587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,165,525,32.81256258,0,0,-5936,-1.8174548,-5129,-1.570371575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,166,554,34.62506604,20,1.250002384,-5536,-1.6949848,-5274,-1.61476695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.7,167,489,30.56255829,0,0,-5649,-1.729582575,-5304,-1.6239522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
